2025_TZ-LLM-trustzone-on-device-llm-protection.pdf	arXiv:2511.13717	TZ-LLM: Protecting On-Device Large Language Models with Arm TrustZone
2025_Tabesh_CAGE-curvature-aware-gradient-estimation.pdf	arXiv:2510.18784	CAGE: CURVATURE-AWARE GRADIENT ESTIMATION FOR ACCURATE QUANTIZATION-AWARE TRAINING
2025_TeLLMe-ternary-llm-accelerator-edge-fpga.pdf	arXiv:2504.16266	TeLLMe: An Energy-Efficient Ternary LLM Accelerator for Prefill and Decode on Edge FPGAs
2025_TeLLMe-v2-ternary-llm-accelerator-edge-fpga.pdf	arXiv:2510.15926	TeLLMe v2: An Efficient End-to-End Ternary LLM Prefill and Decode Accelerator with Table-Lookup Matmul on Edge FPGAs
2025_TeTRA-VPR-ternary-transformer-visual-place-recognition.pdf	arXiv:2503.02511	TeTRA-VPR: A Ternary Transformer Approach for Compact Visual Place Recognition
2025_TerEffic-ternary-llm-inference-fpga.pdf	arXiv:2502.16473	TerEffic: Highly Efficient Ternary LLM Inference on FPGA
2025_TernaryCLIP-compress-vlm-ternary-weights-distill.pdf	arXiv:2510.21879	TernaryCLIP: Efficiently Compressing Vision-Language Models with Ternary Weights and Distilled Knowledge
2025_Tu_rethinking-1bit-optimization-pretrained-llms.pdf	arXiv:2508.06974	Rethinking 1-bit Optimization Leveraging Pre-trained Large Language Models
2025_Vec-LUT-vector-table-lookup-ultra-lowbit-edge.pdf	arXiv:2512.06443	Vec-LUT: Vector Table Lookup for Parallel Ultra-Low-Bit LLM Inference on Edge Devices
2025_Wang_bitnet-1bit-pretraining-JMLR.pdf	Journal of Machine Learning Research 26	Journal of Machine Learning Research 26 (2025) 1-29
2025_Wang_bitnet-cpp-efficient-edge-inference-ternary.pdf	arXiv:2502.11880	Bitnet.cpp: Efficient Edge Inference for Ternary LLMs
2025_Wang_bitnet-v2-native-4bit-hadamard.pdf	arXiv:2504.18415	BitNet v2: Native 4-bit Activations with Hadamard Transformation for 1-bit LLMs
2025_Wang_bitvla-1bit-vision-language-action.pdf	arXiv:2506.07530	BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation
2025_achieving-binary-weight-activation-llm-ptq.pdf	arXiv:2504.05352	Achieving Binary Weight and Activation for LLMs Using Post-Training Quantization
2025_addition-is-almost-all-you-need-double-binary-factorization.pdf	arXiv:2505.11076	Published in Transactions on Machine Learning Research (03/2026)
